SLUG URL,Pillar,Weight,Score,Basis
arg,Air power,25%,37.6,Weighted by aircraft type and fleet age
arg,Nuclear deterrent,10%,0.0,No declared nuclear capability
arg,Defense budget,10%,44.3,"Annual spending, purchasing-power adjusted"
arg,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
omn,Manpower,15%,58.5,"Active, reserve & paramilitary personnel"
omn,Ground forces,20%,49.6,"Tanks, armor & artillery weighted by type"
omn,Naval power,20%,23.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
omn,Air power,25%,40.6,Weighted by aircraft type and fleet age
omn,Nuclear deterrent,10%,0.0,No declared nuclear capability
omn,Defense budget,10%,48.8,"Annual spending, purchasing-power adjusted"
