SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
a330-mrtt,https://globalmilitary.net/aircraft/a330-mrtt/,Airbus A330 MRTT,58.8 m (192.9 ft),60.3 m (197.8 ft),17.4 m (57.1 ft),362 m² (3896.5 sqft),"125,000 kg (275,578 lbs)","233,000 kg (513,676 lbs)",2 × Rolls-Royce Trent 772B 320 kN each,880 km/h (547 mph),"14,800 km (9,196 mi)","13,000 m (42,651 ft)",,4 hours,"3 (2 pilots, AAR operator)",,
a350,https://globalmilitary.net/aircraft/a350/,Airbus A350,66.8 m (219.2 ft),64.8 m (212.4 ft),,442 m² (4757.6 sqft),"115,700 kg (255,075 lbs)","283,000 kg (623,907 lbs)","2 × turbofans Rolls-Royce Trent XWB-84 38,160 kgf each",950 km/h (590 mph),"15,750 km (9,787 mi)","13,137 m (43,100 ft)",,,2,,
hal-ajeet,https://globalmilitary.net/aircraft/hal-ajeet/,Ajeet,9.0 m (29.7 ft),6.7 m (22.1 ft),2.5 m (8.1 ft),12.7 m² (136.6 sqft),"2,307 kg (5,086 lbs)","4,173 kg (9,200 lbs)",1 × HAL/Bristol Siddeley Orpheus 701-01 20 kN each,1152 km/h (Mach 1.15),172 km (107 mi),"13,720 m (45,013 ft)",33.15 m/s (108.8 ft/s),,1,,
ch2000,https://globalmilitary.net/aircraft/ch2000/,Alarus CH2000,7.0 m (23.0 ft),8.8 m (28.8 ft),2.1 m (6.8 ft),12.7 m² (136.7 sqft),"492 kg (1,085 lbs)","767 kg (1,691 lbs)",1 × Lycoming O-235-N2C four cylinder engine 87 kW each,265 km/h (165 mph),900 km (559 mi),"3,810 m (12,500 ft)",3.8 m/s (12.5 ft/s),,1,,
alphajet,https://globalmilitary.net/aircraft/alphajet/,Alpha Jet,13.2 m (43.4 ft),9.1 m (29.9 ft),4.2 m (13.7 ft),17.5 m² (188.4 sqft),"3,515 kg (7,749 lbs)","7,500 kg (16,535 lbs)","2 × turbofans SNECMA-Turbomeca Larzac 04-C5 2,700 kgf each",1000 km/h (Mach 1.0),"2,940 km (1,827 mi)","14,630 m (47,999 ft)",57.0 m/s (187.0 ft/s),,2,,UPC Stencel S-III-S3IA63
an-12-cub,https://globalmilitary.net/aircraft/an-12-cub/,An-12 Cub,33.1 m (108.6 ft),38 m (124.7 ft),10.5 m (34.5 ft),121.7 m² (1310.3 sqft),"28,000 kg (61,729 lbs)","61,000 kg (134,482 lbs)","4 × turboprops Ivchenko-Progress AI-20M 3,126 kW each",770 km/h (478 mph),"5,700 km (3,542 mi)","10,200 m (33,465 ft)",10.2 m/s (33.5 ft/s),"900 m (2,953 ft)",
an-124-condor,https://globalmilitary.net/aircraft/an-124-condor/,An-124 Condor,69.0 m (226.2 ft),73.3 m (240.5 ft),20.8 m (68.2 ft),628 m² (6759.7 sqft),"175,000 kg (385,808 lbs)","405,000 kg (892,871 lbs)","4 × turbofans Ivchenko-Progress D-18T 23,400 kgf each",865 km/h (537 mph),"3,700 km (2,299 mi)","9,000 m (29,528 ft)",,"2,800 m (9,186 ft)",7
an-140,https://globalmilitary.net/aircraft/an-140/,An-140,22.6 m (74.1 ft),24.5 m (80.4 ft),8.2 m (27.0 ft),51 m² (549.0 sqft),"12,810 kg (28,241 lbs)","19,150 kg (42,218 lbs)","2 × turboprops Klimov TV3-117VMA-SBM1 1,838 kW each",575 km/h (357 mph),"3,700 km (2,299 mi)","7,600 m (24,934 ft)",6.83 m/s (22.4 ft/s),,
an-148,https://globalmilitary.net/aircraft/an-148/,An-148,34.4 m (112.7 ft),28.9 m (94.8 ft),8.6 m (28.2 ft),87.3 m² (939.9 sqft),"22,000 kg (48,502 lbs)","43,700 kg (96,342 lbs)","2 × turbofans Ivchenko-Progress D-436-148 6,830 kgf each",870 km/h (541 mph),"3,500 km (2,175 mi)","12,200 m (40,026 ft)",,"2,000 m (6,562 ft)",
an-178,https://globalmilitary.net/aircraft/an-178/,An-178,32.2 m (105.7 ft),30.6 m (100.3 ft),9.6 m (31.4 ft),,"18,350 kg (40,455 lbs)","51,000 kg (112,436 lbs)","2 × Progress D-436-148FM Turbofan 7,502 kgf each",990 km/h (615 mph),"3,680 km (2,287 mi)","12,000 m (39,370 ft)",,,2
liutyi,https://globalmilitary.net/aircraft/liutyi/,An-196 Liutyi,4.4 m (14.4 ft),6.7 m (22.0 ft),,,,300 kg (661 lbs),1 × 4-valve air-cooled boxer piston engine,160 km/h (99 mph),"2,000 km (1,243 mi)",,,,
an-2-colt,https://globalmilitary.net/aircraft/an-2-colt/,An-2 Colt,12.4 m (40.7 ft),18.2 m (59.7 ft),4.1 m (13.5 ft),71.5 m² (769.8 sqft),"3,300 kg (7,275 lbs)","5,440 kg (11,993 lbs)",1 × Shvetsov ASh-62IR radial engine 750 kW each,258 km/h (160 mph),845 km (525 mi),"4,500 m (14,764 ft)",3.5 m/s (11.5 ft/s),,2
an-22-cock,https://globalmilitary.net/aircraft/an-22-cock/,An-22 Cock,57.9 m (190.0 ft),64.4 m (211.3 ft),12.5 m (41.1 ft),345 m² (3713.5 sqft),"114,000 kg (251,327 lbs)","250,000 kg (551,155 lbs)","4 × turboprops Kuznetsov NK-12MA 11,186 kW each",740 km/h (460 mph),"10,950 km (6,804 mi)","8,000 m (26,247 ft)",,"1,460 m (4,790 ft)",
an-225-cossack,https://globalmilitary.net/aircraft/an-225-cossack/,An-225 Cossack,84 m (275.6 ft),88.4 m (290.0 ft),18.1 m (59.4 ft),905 m² (9741.3 sqft),"285,000 kg (628,317 lbs)","640,000 kg (1,410,957 lbs)","6 × turbofans Ivchenko-Progress D-18 23,405 kgf each",850 km/h (528 mph),"15,400 km (9,569 mi)","12,000 m (39,370 ft)",,"3,500 m (11,483 ft)",6
an-24-coke,https://globalmilitary.net/aircraft/an-24-coke/,An-24 Coke,23.5 m (77.2 ft),29.2 m (95.8 ft),8.3 m (27.3 ft),75.0 m² (807.0 sqft),"13,300 kg (29,321 lbs)",,"2 × turboprops Ivchenko-Progress AI-24A 1,876 kW each",485 km/h (301 mph),"2,400 km (1,491 mi)","8,400 m (27,559 ft)",,,
an-26-curl,https://globalmilitary.net/aircraft/an-26-curl/,An-26 Curl,4,23.8 m (78.1 ft),29.3 m (96.1 ft),8.6 m (28.1 ft),75.0 m² (807.1 sqft),"15,020 kg (33,113 lbs)","24,000 kg (52,911 lbs)","2 × turboprops Progress AI-24VT 2,103 kW each",540 km/h (336 mph),"2,500 km (1,553 mi)","7,500 m (24,606 ft)",8.0 m/s (26.2 ft/s),,
an-28-cash,https://globalmilitary.net/aircraft/an-28-cash/,An-28 Cash,,13.0 m (42.6 ft),22 m (72.2 ft),4.6 m (15.1 ft),39.7 m² (427.3 sqft),"3,900 kg (8,598 lbs)","6,100 kg (13,448 lbs)",2 × turboprops Glushenkov TVD-10 708 kW each,355 km/h (221 mph),"1,365 km (848 mi)","6,000 m (19,685 ft)",12.0 m/s (39.4 ft/s),,
an-30-clank,https://globalmilitary.net/aircraft/an-30-clank/,An-30 Clank,,24.3 m (79.6 ft),29.2 m (95.8 ft),8.3 m (27.3 ft),75 m² (807.3 sqft),"15,590 kg (34,370 lbs)","23,000 kg (50,706 lbs)","2 × turboprops Ivchenko-Progress AI-24T 2,074 kW each",540 km/h (336 mph),"2,630 km (1,634 mi)","8,300 m (27,231 ft)",,,
an-32-cline,https://globalmilitary.net/aircraft/an-32-cline/,An-32 Cline,,24.5 m (80.5 ft),29.2 m (95.8 ft),8.8 m (28.9 ft),,"16,800 kg (37,038 lbs)","28,500 kg (62,832 lbs)","2 × turboprops Ivchenko-Progress AI-20DM 3,812 kW each",530 km/h (329 mph),"1,400 km (870 mi)","9,000 m (29,528 ft)",,,
an-71-madcap,https://globalmilitary.net/aircraft/an-71-madcap/,An-71 Madcap,6,23.5 m (77.1 ft),31.9 m (104.6 ft),9.2 m (30.2 ft),,"19,760 kg (43,563 lbs)","32,100 kg (70,768 lbs)","2 × turbofans Progress D-436K 7,505 kgf each",650 km/h (404 mph),,"10,800 m (35,433 ft)",,,
an-72-74-coaler,https://globalmilitary.net/aircraft/an-72-74-coaler/,An-72/74 Coaler,5,28.1 m (92.1 ft),31.9 m (104.6 ft),8.7 m (28.4 ft),98.6 m² (1061.5 sqft),"19,000 kg (41,888 lbs)","34,800 kg (76,721 lbs)","2 × turbofans Ivchenko-Progress D-36 6,516 kgf each",700 km/h (435 mph),"4,800 km (2,983 mi)","11,600 m (38,058 ft)",,,
ansat,https://globalmilitary.net/aircraft/ansat/,Ansat,1–2,13.8 m (45.1 ft),11.5 m (37.7 ft),3.4 m (11.2 ft),103.9 m² (1118.0 sqft),"2,365 kg (5,214 lbs)","3,600 kg (7,937 lbs)",2 × Pratt & Whitney Canada PW207K turboshaft engines 470 kW each,275 km/h (171 mph),505 km (314 mi),"5,500 m (18,045 ft)",14.0 m/s (45.9 ft/s),3 hours,
arava,https://globalmilitary.net/aircraft/arava/,Arava,,12.7 m (41.6 ft),21.0 m (68.8 ft),5.2 m (17.1 ft),43.7 m² (470.2 sqft),"4,050 kg (8,929 lbs)","7,711 kg (17,000 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-36 559 kW each,326 km/h (203 mph),"1,056 km (656 mi)","7,620 m (25,000 ft)",6.6 m/s (21.7 ft/s),,
archytas,https://globalmilitary.net/aircraft/archytas/,Archytas,,3.5 m (11.5 ft),6.4 m (21.0 ft),,,,190 kg (419 lbs),"1 × piston engine, pusher propeller, plus electric VTOL rotors 22 kW each",158 km/h (98 mph),200 km (124 mi),"8,229 m (26,998 ft)",6.3 m/s (20.7 ft/s),4 hours,
cheetah,https://globalmilitary.net/aircraft/cheetah/,Atlas Cheetah,1,15.7 m (51.3 ft),8.2 m (27.0 ft),4.6 m (14.9 ft),34.8 m² (374.6 sqft),"7,400 kg (16,314 lbs)","16,500 kg (36,376 lbs)",,2338 km/h (Mach 2.34),"2,600 km (1,616 mi)","17,000 m (55,774 ft)",,,Martin-Baker Mk 6
oryx,https://globalmilitary.net/aircraft/oryx/,Atlas Oryx,3,15.5 m (50.7 ft),15.6 m (51.2 ft),5.1 m (16.9 ft),191 m² (2055.9 sqft),"3,600 kg (7,937 lbs)","8,000 kg (17,637 lbs)","2 × Turbomeca Makila IA1 1,400 kW each",306 km/h (190 mph),303 km (188 mi),"7,162 m (23,497 ft)",15.25 m/s (50.0 ft/s),,
hesa-azarakhsh,https://globalmilitary.net/aircraft/hesa-azarakhsh/,Azarakhsh,1,,,,,,,,,,,,,
b1a,https://globalmilitary.net/aircraft/b1a/,B-1A,4,52 m (170.6 ft),41.7 m (136.7 ft),10.4 m (34.1 ft),594 m² (6393.8 sqft),"86,183 kg (190,001 lbs)","179,169 kg (395,000 lbs)","4 × turbofans General Electric F101-GE-100 13,608 kgf each",2124 km/h (Mach 2.12),"9,800 km (6,089 mi)","18,900 m (62,008 ft)",28.8 m/s (94.5 ft/s),,
b1b-lancer,https://globalmilitary.net/aircraft/b1b-lancer/,B-1B Lancer,4,44.5 m (146.0 ft),41.8 m (137.1 ft),10.4 m (34.1 ft),181.2 m² (1950.4 sqft),"87,100 kg (192,022 lbs)","216,400 kg (477,080 lbs)","4 × turbofans General Electric F101-GE-102 13,961 kgf each",1448 km/h (Mach 1.45),"9,400 km (5,841 mi)","18,000 m (59,055 ft)",28.8 m/s (94.5 ft/s),McDonnell Douglas ACES II,
b2-spirit,https://globalmilitary.net/aircraft/b2-spirit/,B-2 Spirit,2,21 m (68.9 ft),52 m (170.6 ft),5 m (16.4 ft),478 m² (5145.1 sqft),"71,668 kg (158,001 lbs)","170,200 kg (375,226 lbs)","4 × turbofans General Electric F118-GE-100 7,847 kgf each",972 km/h (604 mph),"11,000 km (6,835 mi)","15,240 m (50,000 ft)",,McDonnell Douglas ACES II,12 hours
b21-raider,https://globalmilitary.net/aircraft/b21-raider/,B-21 Raider,2,16 m (52.5 ft),40 m (131.2 ft),,,"31,751 kg (69,999 lbs)","81,647 kg (180,001 lbs)","2 × Pratt & Whitney PW9000 non-afterburning turbofans 12,240 kgf each",1050 km/h (Mach 1.05),"9,600 km (5,965 mi)","15,000 m (49,213 ft)",,,
b36-peacemaker,https://globalmilitary.net/aircraft/b36-peacemaker/,B-36 Peacemaker,9–22 (B-36J to RB-36D),49.4 m (162.1 ft),70 m (229.7 ft),14.3 m (46.8 ft),443.5 m² (4773.8 sqft),"75,530 kg (166,515 lbs)","185,973 kg (410,000 lbs)","6 × Pratt & Whitney R-4360-53 Wasp Major radial engines, plus 4 General Electric J47-19 turbojets",673 km/h (418 mph),"16,093 km (10,000 mi)","13,289 m (43,599 ft)",10.1 m/s (33.1 ft/s),,40 hours
b47-stratojet,https://globalmilitary.net/aircraft/b47-stratojet/,B-47 Stratojet,3,32.7 m (107.1 ft),35.4 m (116.0 ft),8.5 m (28.0 ft),132.7 m² (1428.4 sqft),"35,867 kg (79,073 lbs)","100,000 kg (220,462 lbs)","6 × turbojets General Electric J47-GE-25 3,266 kgf each",977 km/h (607 mph),"3,240 km (2,013 mi)","10,089 m (33,100 ft)",23.7 m/s (77.8 ft/s),,
b52-stratofortress,https://globalmilitary.net/aircraft/b52-stratofortress/,B-52 Stratofortress,4,48.5 m (159.1 ft),56.4 m (185.0 ft),12.4 m (40.7 ft),370 m² (3982.6 sqft),"83,250 kg (183,535 lbs)","220,000 kg (485,016 lbs)","8 × turbofans Pratt & Whitney TF33-P-3/103 7,747 kgf each",1000 km/h (Mach 1.0),"14,200 km (8,823 mi)","15,000 m (49,213 ft)",31.9 m/s (104.7 ft/s),Weber M-3,20 hours
b58-hustler,https://globalmilitary.net/aircraft/b58-hustler/,B-58 Hustler,3,29.5 m (96.8 ft),17.3 m (56.8 ft),8.9 m (29.2 ft),143.3 m² (1542.5 sqft),"25,200 kg (55,556 lbs)","80,240 kg (176,899 lbs)","4 × turbojets General Electric J79-GE-5A 4,400 kgf each",2123 km/h (Mach 2.12),"7,600 km (4,722 mi)","19,324 m (63,399 ft)",88.0 m/s (288.7 ft/s),,
gcap-tempest,https://globalmilitary.net/aircraft/gcap-tempest/,BAE Tempest,,,,,,,,,,,,,,
bae-146,https://globalmilitary.net/aircraft/bae-146/,BAe 146,2,28.6 m (93.7 ft),26.3 m (86.4 ft),8.6 m (28.2 ft),77.3 m² (832.0 sqft),"24,600 kg (54,234 lbs)","42,184 kg (93,000 lbs)",4 × Lycoming ALF 502R-5 / Honeywell LF 507-1F 31 kN each,789 km/h (490 mph),"3,650 km (2,268 mi)","10,668 m (35,000 ft)",,,
bd-700-global-express,https://globalmilitary.net/aircraft/bd-700-global-express/,BD-700 Global Express,,30.3 m (99.5 ft),29 m (95.1 ft),7.3 m (24.1 ft),95 m² (1022.6 sqft),"22,566 kg (49,749 lbs)","45,132 kg (99,499 lbs)","2 × turbofans Rolls-Royce BR710A2-20 6,690 kgf each",950 km/h (590 mph),"11,100 km (6,897 mi)","15,545 m (51,001 ft)","1,865 m (6,119 ft)",,
bn-2b-defender,https://globalmilitary.net/aircraft/bn-2b-defender/,BN-2B Defender,1,11.1 m (36.3 ft),16.2 m (53.0 ft),4.2 m (13.7 ft),31.3 m² (337.0 sqft),"1,825 kg (4,023 lbs)","2,995 kg (6,603 lbs)",2 × pistons engine Lycoming 0-540-E4C5 194 kW each,264 km/h (164 mph),"1,400 km (870 mi)","4,000 m (13,123 ft)",,6.4 m/s (21.0 ft/s),
bqm-167-skeeter,https://globalmilitary.net/aircraft/bqm-167-skeeter/,BQM-167 Skeeter,,6.1 m (20.0 ft),3.2 m (10.5 ft),1.2 m (3.9 ft),,313 kg (690 lbs),"930 kg (2,050 lbs)",1 × MicroTurbo Tri 60-5+ turbojet 449 kgf each,1100 km/h (Mach 1.1),,"15,000 m (49,213 ft)",,,
bqm-74-chukar,https://globalmilitary.net/aircraft/bqm-74-chukar/,BQM-74 Chukar,,3.9 m (12.9 ft),1.8 m (5.8 ft),0.7 m (2.3 ft),,123 kg (271 lbs),249 kg (549 lbs),1 × Williams J400-WR-404 1 kN each,972 km/h (604 mph),,"12,000 m (39,370 ft)",,,1 hours
bzk-005,https://globalmilitary.net/aircraft/bzk-005/,BZK-005 Giant Eagle,,9 m (29.5 ft),19 m (62.3 ft),,,,"1,250 kg (2,756 lbs)",,,,"8,000 m (26,247 ft)",,,40 hours
bayraktar-akinci,https://globalmilitary.net/aircraft/bayraktar-akinci/,Bayraktar Akıncı,,12.2 m (40.0 ft),20 m (65.6 ft),4.1 m (13.5 ft),,"4,501 kg (9,923 lbs)","5,500 kg (12,125 lbs)",2 × Ivchenko-Progress Motor Sich AI-450T 340 kW each,361 km/h (224 mph),"7,500 km (4,660 mi)","13,716 m (45,000 ft)",,,25 hours
bayraktar-kizilelma,https://globalmilitary.net/aircraft/bayraktar-kizilelma/,Bayraktar Kızılelma,,14.5 m (47.6 ft),10 m (32.8 ft),3.5 m (11.5 ft),,"4,201 kg (9,262 lbs)","8,500 kg (18,739 lbs)",1 × Ivchenko-Progress AI-25TLT 16 kN each,1100 km/h (Mach 1.1),930 km (578 mi),"14,000 m (45,932 ft)",,,3 hours
bayraktar-tb2,https://globalmilitary.net/aircraft/bayraktar-tb2/,Bayraktar TB2,,6.5 m (21.3 ft),12 m (39.4 ft),,,"650 kg (1,433 lbs)","1,200 kg (2,646 lbs)",1 × ROTAX 912 internal combustion engine,222 km/h (138 mph),300 km (186 mi),"8,239 m (27,031 ft)",,,27 hours
bayraktar-tb3,https://globalmilitary.net/aircraft/bayraktar-tb3/,Bayraktar TB3,8.4 m (27.4 ft),14 m (45.9 ft),2.6 m (8.5 ft),"1,450 kg (3,197 lbs)",1 × TEI-PD170 or TEI-PD200,300 km/h (186 mph),"2,000 km (1,243 mi)",,,,,,
be-12,https://globalmilitary.net/aircraft/be-12/,Be-12 Tchaïka Mail,26.5 m (87.0 ft),29.8 m (97.9 ft),9.1 m (29.9 ft),"36,000 kg (79,366 lbs)","2 × turboprops Ivchenko-Progress AI-20D 3,810 kW each",530 km/h (329 mph),"1,500 km (932 mi)","25,500 kg (56,218 lbs)","8,000 m (26,247 ft)",9.5 m/s (31.2 ft/s),,,
be-200,https://globalmilitary.net/aircraft/be-200/,Be-200,31.4 m (103.1 ft),32.8 m (107.5 ft),8.9 m (29.2 ft),"41,000 kg (90,389 lbs)","2 × turbofans Ivchenko-Progress D-436TP 7,500 kgf each",700 km/h (435 mph),"3,300 km (2,051 mi)","27,600 kg (60,848 lbs)","8,000 m (26,247 ft)",17.0 m/s (55.8 ft/s),117.4 m² (1263.7 sqft),"1,800 m (5,906 ft)",
be-6-madge,https://globalmilitary.net/aircraft/be-6-madge/,Be-6 Madge,23.5 m (77.1 ft),33 m (108.3 ft),7.6 m (25.1 ft),"29,000 kg (63,934 lbs)","2 × radial piston engines Shvetsov ASh-73TK 1,800 kW each",414 km/h (257 mph),"4,800 km (2,983 mi)","18,827 kg (41,506 lbs)","6,100 m (20,013 ft)",,120 m² (1291.7 sqft),,8
beechcraft-1900,https://globalmilitary.net/aircraft/beechcraft-1900/,Beechcraft 1900 Beechliner,17.6 m (57.8 ft),17.6 m (57.9 ft),4.7 m (15.5 ft),"7,765 kg (17,119 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-67D 955 kW each,530 km/h (329 mph),"2,778 km (1,726 mi)","4,733 kg (10,434 lbs)","7,620 m (25,000 ft)",13.28 m/s (43.6 ft/s),,"1,160 m (3,806 ft)",
beechcraft-390,https://globalmilitary.net/aircraft/beechcraft-390/,Beechcraft 390 Premier I,14 m (45.9 ft),13.6 m (44.5 ft),4.7 m (15.3 ft),"5,670 kg (12,500 lbs)","2 × turbofans Williams FJ44-2A 1,043 kgf each",841 km/h (523 mph),"2,519 km (1,565 mi)","3,627 kg (7,996 lbs)","12,497 m (41,001 ft)",,23 m² (247.6 sqft),,
beechcraft-baron,https://globalmilitary.net/aircraft/beechcraft-baron/,Beechcraft Baron,9 m (29.5 ft),11.3 m (37.1 ft),3.0 m (9.7 ft),"2,313 kg (5,099 lbs)",2 × pistons engine Continental IO-470L 194 kW each,370 km/h (230 mph),"1,745 km (1,084 mi)","1,432 kg (3,157 lbs)","6,005 m (19,701 ft)",8.5 m/s (27.9 ft/s),18.5 m² (199.2 sqft),,
beechcraft-bonanza,https://globalmilitary.net/aircraft/beechcraft-bonanza/,Beechcraft Bonanza,8.4 m (27.5 ft),10.2 m (33.5 ft),2.6 m (8.6 ft),"1,656 kg (3,651 lbs)",1 × piston engine Continental IO-550-B 224 kW each,,"1,326 km (824 mi)","1,141 kg (2,515 lbs)","5,639 m (18,501 ft)",6.25 m/s (20.5 ft/s),16.8 m² (181.0 sqft),,1
bell-214,https://globalmilitary.net/aircraft/bell-214/,Bell 214,14.6 m (48.0 ft),15 m (49.2 ft),3.9 m (12.8 ft),"6,804 kg (15,000 lbs)","1 × Lycoming LTC4B-8D 2,180 kW each",259 km/h (161 mph),411 km (255 mi),"3,442 kg (7,588 lbs)","5,000 m (16,404 ft)",,182.4 m² (1963.8 sqft),,2
bell-412,https://globalmilitary.net/aircraft/bell-412/,Bell 412,17.1 m (56.1 ft),14.0 m (46.0 ft),4.6 m (15.0 ft),"5,398 kg (11,901 lbs)",1 × turboshaft Pratt & Whitney Canada PT6T-3D Twin-Pac 930 kW each,260 km/h (162 mph),980 km (609 mi),"3,079 kg (6,788 lbs)","6,100 m (20,013 ft)",6.9 m/s (22.6 ft/s),154.4 m² (1661.9 sqft),,1–2
bell-430,https://globalmilitary.net/aircraft/bell-430/,Bell 430,1,15.3 m (50.2 ft),12.8 m (42.0 ft),3.8 m (12.3 ft),"2,406 kg (5,304 lbs)","4,218 kg (9,299 lbs)",2 × turboshafts Allison 250-C40B 585 kW each,278 km/h (173 mph),600 km (373 mi),"6,096 m (20,000 ft)",6.858 m/s (22.5 ft/s),,,
bell-47,https://globalmilitary.net/aircraft/bell-47/,Bell 47,1–2,9.6 m (31.6 ft),11.3 m (37.2 ft),2.8 m (9.3 ft),"859 kg (1,894 lbs)","1,338 kg (2,950 lbs)",1 × Lycoming TVO-435-F1A 210 kW each,169 km/h (105 mph),396 km (246 mi),,4.4 m/s (14.4 ft/s),100.8 m² (1085.0 sqft),,
bird-eye,https://globalmilitary.net/aircraft/bird-eye/,Bird-Eye,,,4 m (13.1 ft),,,30 kg (66 lbs),1 × piston engine,,150 km (93 mi),"4,572 m (15,000 ft)",,,15 hours,
black-hornet,https://globalmilitary.net/aircraft/black-hornet/,Black Hornet,,0.2 m (0.5 ft),,,,,Electric motor,21 km/h (13 mph),1 km (1 mi),,,,,
bober,https://globalmilitary.net/aircraft/bober/,Bober,,,2.5 m (8.2 ft),,,,,200 km/h (124 mph),"1,000 km (621 mi)",,,,7 hours,
boeing-707,https://globalmilitary.net/aircraft/boeing-707/,Boeing 707,,46.4 m (152.1 ft),44.5 m (145.9 ft),13.0 m (42.5 ft),"66,406 kg (146,400 lbs)","151,318 kg (333,599 lbs)","4 × turbojets Pratt & Whitney JT3D-7 8,618 kgf each",1010 km/h (Mach 1.01),"5,400 km (3,355 mi)","13,000 m (42,651 ft)",,,10 hours,"3,304 m (10,840 ft)"
boeing-727,https://globalmilitary.net/aircraft/boeing-727/,Boeing 727,,46.7 m (153.2 ft),33 m (108.3 ft),10 m (32.8 ft),"45,359 kg (99,999 lbs)","95,028 kg (209,501 lbs)","3 × turbofans Pratt & Whitney JT8D-9A 6,577 kgf each",1017 km/h (Mach 1.02),"4,720 km (2,933 mi)","12,802 m (42,001 ft)",,157.9 m² (1699.9 sqft),,"1,768 m (5,801 ft)"
boeing-737,https://globalmilitary.net/aircraft/boeing-737/,Boeing 737,,30 m (98.4 ft),28 m (91.9 ft),11 m (36.1 ft),"29,071 kg (64,091 lbs)","52,163 kg (115,000 lbs)","2 × turbofans Pratt & Whitney JT8D-9A 6,577 kgf each",904 km/h (562 mph),"4,800 km (2,983 mi)","11,278 m (37,001 ft)",,91 m² (979.5 sqft),,
boeing-747,https://globalmilitary.net/aircraft/boeing-747/,Boeing 747,4,70.6 m (231.6 ft),59.6 m (195.5 ft),19.3 m (63.3 ft),"173,726 kg (383,000 lbs)","377,842 kg (832,998 lbs)","4 × turbofans General Electric CF6-80C2B1 25,719 kgf each",1014 km/h (Mach 1.01),"12,150 km (7,550 mi)","13,746 m (45,098 ft)",,511.0 m² (5499.8 sqft),16 hours,
boeing-757,https://globalmilitary.net/aircraft/boeing-757/,Boeing 757,,47.3 m (155.2 ft),38.0 m (124.6 ft),11.0 m (36.2 ft),"58,900 kg (129,852 lbs)","115,666 kg (255,000 lbs)","2 × turbofan Pratt & Whitney PW2040 18,915 kgf each",853 km/h (530 mph),"7,250 km (4,505 mi)","12,802 m (42,001 ft)",,181.3 m² (1951.0 sqft),,
boeing-767,https://globalmilitary.net/aircraft/boeing-767/,Boeing 767,48.5 m (159.1 ft),47.6 m (156.2 ft),16 m (52.5 ft),283 m² (3046.2 sqft),"80,286 kg (177,000 lbs)","136,078 kg (300,000 lbs)","2 × turbofans Pratt & Whitney JT9D-7R4D 21,772 kgf each",912 km/h (567 mph),"7,200 km (4,474 mi)","13,137 m (43,100 ft)","1,768 m (5,801 ft)",,,
buccaneer,https://globalmilitary.net/aircraft/buccaneer/,Buccaneer,19.3 m (63.4 ft),13.4 m (44.0 ft),5.0 m (16.3 ft),47.8 m² (514.7 sqft),"14,000 kg (30,865 lbs)","28,000 kg (61,729 lbs)","2 × turbofans Rolls-Royce RB.168 Spey Mk 101 10,070 kgf each",1040 km/h (Mach 1.04),"3,700 km (2,299 mi)","12,200 m (40,026 ft)",,"2 (pilot, observer)",Martin-Baker Mk 6,
burraq,https://globalmilitary.net/aircraft/burraq/,Burraq,,,,,,,,,,,,,,
c101-aviojet,https://globalmilitary.net/aircraft/c101-aviojet/,C-101 Aviojet,12.5 m (41.0 ft),10.6 m (34.8 ft),4.3 m (13.9 ft),20 m² (215.3 sqft),"2,800 kg (6,173 lbs)","6,300 kg (13,889 lbs)","1 × turbofan Honeywell TFE731-2 1,588 kgf each",770 km/h (478 mph),519 km (322 mi),"12,500 m (41,011 ft)","560 m (1,837 ft)",2,Martin-Baker Mk 10,32.5 m/s (106.6 ft/s)
c130-hercules,https://globalmilitary.net/aircraft/c130-hercules/,C-130 Hercules,29.8 m (97.9 ft),40.4 m (132.7 ft),11.7 m (38.3 ft),162 m² (1743.8 sqft),"35,800 kg (78,925 lbs)","70,307 kg (155,000 lbs)","4 × turboprops Allison T56-A-15 3,661 kW each",593 km/h (368 mph),"3,800 km (2,361 mi)","10,058 m (32,999 ft)","1,093 m (3,586 ft)",5,,9.3 m/s (30.5 ft/s)
c141-starlifter,https://globalmilitary.net/aircraft/c141-starlifter/,C-141 Starlifter,51.3 m (168.4 ft),49 m (160.8 ft),12.0 m (39.3 ft),300 m² (3229.2 sqft),"65,540 kg (144,491 lbs)","146,556 kg (323,100 lbs)","4 × turbofans Pratt & Whitney TF33-P-7 9,185 kgf each",805 km/h (500 mph),"4,723 km (2,935 mi)","12,497 m (41,001 ft)",,4,,13.2 m/s (43.3 ft/s)
c160,https://globalmilitary.net/aircraft/c160/,C-160 Transall,32.4 m (106.3 ft),40 m (131.2 ft),11.7 m (38.2 ft),160 m² (1722.2 sqft),"29,000 kg (63,934 lbs)","51,000 kg (112,436 lbs)","2 × turboprops Rolls-Royce Tyne Rty.20 Mk 22 4,549 kW each",513 km/h (319 mph),"1,853 km (1,151 mi)","8,230 m (27,001 ft)",,5,,6.6 m/s (21.7 ft/s)
